request_id,date,hospital,region,blood_type,units_requested,urgency,reason,fulfilled,response_time_min,donors_matched
REQ-2024-00047,2024-04-05,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,2,low,Organ Transplant,1,15,1
REQ-2024-00048,2024-07-22,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,4,medium,Maternal Care,1,10,9
REQ-2024-00049,2024-12-09,CHU Mohammed VI,Marrakech-Safi,A-,4,high,Accident Emergency,1,23,8
REQ-2023-00050,2023-07-06,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,2,medium,Accident Emergency,1,29,9
REQ-2025-00051,2025-12-02,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,4,medium,Organ Transplant,1,9,2
REQ-2023-00052,2023-09-11,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,B-,5,medium,Maternal Care,1,42,10
REQ-2025-00053,2025-04-25,CHU Hassan II,Fès-Meknès,AB+,6,low,Post-Operative Care,0,,0
REQ-2023-00054,2023-03-31,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,3,high,Burn Treatment,1,47,8
REQ-2025-00055,2025-10-29,CHU Ibn Rochd,Casablanca-Settat,A+,2,high,Maternal Care,1,52,1
REQ-2024-00056,2024-01-24,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,4,medium,Emergency Surgery,1,26,6
REQ-2025-00057,2025-09-16,Hôpital Régional Oujda,Oriental,O+,6,low,Scheduled Transfusion,1,43,12
REQ-2025-00058,2025-08-07,CHU Ibn Rochd,Casablanca-Settat,O+,1,low,Accident Emergency,1,30,4
REQ-2025-00059,2025-02-09,CHU Souss Massa,Souss-Massa,O+,6,low,Maternal Care,1,52,11
REQ-2023-00060,2023-01-03,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,5,high,Accident Emergency,1,19,11
REQ-2025-00061,2025-06-12,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,1,high,Chronic Disease Treatment,1,29,10
REQ-2023-00062,2023-07-29,CHU Mohammed VI,Marrakech-Safi,O+,5,high,Chronic Disease Treatment,0,,0
REQ-2025-00063,2025-02-12,CHU Hassan II,Fès-Meknès,B+,6,low,Accident Emergency,0,,0
REQ-2025-00064,2025-03-12,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,B+,2,medium,Post-Operative Care,1,57,7
REQ-2024-00065,2024-07-24,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,4,high,Chronic Disease Treatment,1,16,12
REQ-2023-00066,2023-01-04,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,B+,5,medium,Emergency Surgery,1,49,1
REQ-2025-00067,2025-09-19,CHU Ibn Rochd,Casablanca-Settat,B-,4,medium,Pediatric Care,1,40,3
REQ-2024-00068,2024-11-19,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,2,medium,Organ Transplant,1,51,4
REQ-2025-00069,2025-09-21,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,5,low,Emergency Surgery,0,,0
REQ-2023-00070,2023-03-29,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,4,low,Pediatric Care,1,50,11
REQ-2023-00071,2023-04-01,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,6,medium,Chronic Disease Treatment,1,17,3
REQ-2026-00072,2026-01-20,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,B+,4,low,Maternal Care,1,17,10
REQ-2023-00073,2023-07-16,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,B+,6,high,Post-Operative Care,1,57,7
REQ-2025-00074,2025-11-21,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O-,2,medium,Maternal Care,1,24,8
REQ-2023-00075,2023-09-05,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,B+,6,medium,Maternal Care,0,,0
REQ-2024-00076,2024-12-31,CHU Souss Massa,Souss-Massa,A+,6,high,Burn Treatment,1,39,8
REQ-2025-00077,2025-12-19,CHU Ibn Rochd,Casablanca-Settat,B+,5,medium,Scheduled Transfusion,0,,0
REQ-2025-00078,2025-06-26,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,4,low,Maternal Care,0,,0
REQ-2025-00079,2025-06-01,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O-,2,medium,Emergency Surgery,1,30,3
REQ-2025-00080,2025-03-11,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,3,low,Post-Operative Care,1,10,2
REQ-2024-00081,2024-05-18,CHU Souss Massa,Souss-Massa,O+,3,low,Emergency Surgery,1,60,8
REQ-2024-00082,2024-01-06,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,3,high,Pediatric Care,1,44,6
REQ-2025-00083,2025-09-20,Hôpital Régional Oujda,Oriental,O+,6,medium,Accident Emergency,1,57,9
REQ-2025-00084,2025-10-24,CHU Ibn Rochd,Casablanca-Settat,A+,3,high,Pediatric Care,1,30,10
REQ-2024-00085,2024-05-21,CHU Hassan II,Fès-Meknès,B-,2,high,Scheduled Transfusion,0,,0
REQ-2023-00086,2023-05-10,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,6,medium,Burn Treatment,1,34,9
REQ-2025-00087,2025-08-16,CHU Hassan II,Fès-Meknès,B+,4,high,Pediatric Care,1,52,8
REQ-2025-00088,2025-06-17,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O+,4,medium,Chronic Disease Treatment,1,47,1
REQ-2024-00089,2024-12-28,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,2,low,Chronic Disease Treatment,1,9,7
REQ-2024-00090,2024-02-24,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,3,low,Chronic Disease Treatment,1,51,12
REQ-2023-00091,2023-12-06,CHU Souss Massa,Souss-Massa,A+,5,high,Burn Treatment,1,6,9
REQ-2023-00092,2023-05-10,CHU Ibn Rochd,Casablanca-Settat,O+,1,low,Burn Treatment,1,32,4
REQ-2025-00093,2025-10-05,CHU Mohammed VI,Marrakech-Safi,B+,3,high,Maternal Care,1,20,8
REQ-2025-00094,2025-03-24,CHU Hassan II,Fès-Meknès,A+,5,critical,Burn Treatment,1,25,9
REQ-2025-00095,2025-09-23,CHU Mohammed VI,Marrakech-Safi,B+,4,medium,Scheduled Transfusion,1,54,1
REQ-2024-00096,2024-09-28,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,10,critical,Emergency Surgery,1,21,10
REQ-2024-00097,2024-07-07,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,1,high,Burn Treatment,1,59,7
REQ-2025-00098,2025-10-24,CHU Mohammed VI,Marrakech-Safi,A+,2,medium,Organ Transplant,1,7,1
REQ-2025-00099,2025-01-24,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,2,critical,Burn Treatment,1,44,6
REQ-2024-00100,2024-02-16,CHU Ibn Rochd,Casablanca-Settat,A+,2,high,Post-Operative Care,1,26,10
REQ-2025-00101,2025-02-19,CHU Souss Massa,Souss-Massa,O+,2,high,Maternal Care,1,58,5
REQ-2024-00102,2024-01-02,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,3,critical,Scheduled Transfusion,1,45,1
REQ-2025-00103,2025-03-18,Hôpital Régional Oujda,Oriental,A+,2,high,Scheduled Transfusion,1,19,8
REQ-2023-00104,2023-12-18,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,6,critical,Burn Treatment,1,33,11
REQ-2023-00105,2023-05-24,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,4,low,Post-Operative Care,1,36,8
REQ-2024-00106,2024-11-19,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,4,low,Burn Treatment,1,24,8
REQ-2025-00107,2025-09-05,CHU Ibn Rochd,Casablanca-Settat,AB+,4,low,Post-Operative Care,1,56,3
REQ-2024-00108,2024-07-26,CHU Mohammed VI,Marrakech-Safi,AB+,10,critical,Accident Emergency,1,20,12
REQ-2024-00109,2024-01-22,CHU Souss Massa,Souss-Massa,A+,2,critical,Accident Emergency,0,,0
REQ-2023-00110,2023-01-07,CHU Ibn Sina,Rabat-Salé-Kénitra,B+,10,critical,Organ Transplant,1,31,6
REQ-2023-00111,2023-07-19,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,1,high,Emergency Surgery,0,,0
REQ-2023-00112,2023-09-16,Hôpital Régional Oujda,Oriental,O+,2,medium,Chronic Disease Treatment,1,3,7
REQ-2023-00113,2023-10-17,CHU Ibn Rochd,Casablanca-Settat,B+,3,high,Burn Treatment,1,11,2
REQ-2025-00114,2025-06-08,CHU Hassan II,Fès-Meknès,A+,3,medium,Organ Transplant,1,45,7
REQ-2023-00115,2023-12-04,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,2,high,Pediatric Care,1,52,7
REQ-2024-00116,2024-02-18,CHU Souss Massa,Souss-Massa,O+,9,critical,Organ Transplant,1,36,12
REQ-2024-00117,2024-02-24,Hôpital Régional Oujda,Oriental,O+,3,low,Burn Treatment,1,23,6
REQ-2023-00118,2023-10-01,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,5,high,Scheduled Transfusion,1,5,11
REQ-2023-00119,2023-11-21,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,5,high,Post-Operative Care,1,42,10
REQ-2023-00120,2023-08-09,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,4,high,Chronic Disease Treatment,1,41,1
REQ-2025-00121,2025-07-14,Hôpital Régional Oujda,Oriental,O+,4,low,Maternal Care,1,24,12
REQ-2025-00122,2025-06-18,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,3,low,Pediatric Care,1,20,4
REQ-2023-00123,2023-10-19,CHU Hassan II,Fès-Meknès,A+,3,high,Accident Emergency,1,18,5
REQ-2023-00124,2023-06-27,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,5,high,Accident Emergency,1,59,2
REQ-2024-00125,2024-11-10,Hôpital Régional Oujda,Oriental,AB+,4,medium,Accident Emergency,1,18,5
REQ-2023-00126,2023-03-30,CHU Souss Massa,Souss-Massa,B+,5,medium,Maternal Care,1,13,3
REQ-2024-00127,2024-07-13,CHU Ibn Rochd,Casablanca-Settat,A+,6,high,Scheduled Transfusion,0,,0
REQ-2024-00128,2024-05-09,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,3,medium,Emergency Surgery,1,45,7
REQ-2025-00129,2025-03-19,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,AB+,4,medium,Chronic Disease Treatment,1,13,6
REQ-2025-00130,2025-03-28,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,B+,10,critical,Chronic Disease Treatment,1,24,11
REQ-2024-00131,2024-05-22,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,2,medium,Scheduled Transfusion,1,59,4
REQ-2025-00132,2025-02-04,CHU Ibn Rochd,Casablanca-Settat,O+,7,critical,Organ Transplant,1,59,2
REQ-2024-00133,2024-11-11,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,B+,3,low,Pediatric Care,1,51,11
REQ-2024-00134,2024-11-04,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,5,medium,Maternal Care,1,6,6
REQ-2024-00135,2024-01-15,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,2,critical,Pediatric Care,1,14,6
REQ-2023-00136,2023-01-10,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A-,4,critical,Post-Operative Care,1,9,12
REQ-2025-00137,2025-09-02,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,B+,3,medium,Organ Transplant,1,57,8
REQ-2025-00138,2025-04-03,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB+,1,low,Emergency Surgery,0,,0
REQ-2025-00139,2025-04-14,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,4,high,Organ Transplant,1,44,2
REQ-2024-00140,2024-11-29,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,2,low,Organ Transplant,1,20,1
REQ-2025-00141,2025-09-29,CHU Ibn Rochd,Casablanca-Settat,O+,2,low,Post-Operative Care,1,36,12
REQ-2025-00142,2025-04-04,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,AB-,2,high,Emergency Surgery,0,,0
REQ-2023-00143,2023-09-26,Hôpital Régional Oujda,Oriental,A+,6,high,Scheduled Transfusion,1,52,9
REQ-2024-00144,2024-04-28,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,4,medium,Maternal Care,1,36,11
REQ-2023-00145,2023-01-25,CHU Mohammed VI,Marrakech-Safi,O+,5,medium,Pediatric Care,1,13,10
REQ-2024-00146,2024-11-29,CHU Hassan II,Fès-Meknès,A+,1,high,Burn Treatment,1,34,12
REQ-2024-00147,2024-12-19,Hôpital Régional Oujda,Oriental,O+,2,medium,Emergency Surgery,1,52,6
REQ-2025-00148,2025-08-09,Hôpital Régional Oujda,Oriental,O+,2,medium,Pediatric Care,0,,0
REQ-2024-00149,2024-01-12,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,1,low,Organ Transplant,1,18,6
REQ-2023-00150,2023-09-30,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,4,low,Emergency Surgery,0,,0
REQ-2023-00151,2023-02-21,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A-,4,medium,Pediatric Care,1,57,4
REQ-2025-00152,2025-11-28,CHU Souss Massa,Souss-Massa,O+,2,low,Scheduled Transfusion,1,26,6
REQ-2025-00153,2025-07-11,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,2,low,Chronic Disease Treatment,1,20,7
REQ-2023-00154,2023-11-29,CHU Souss Massa,Souss-Massa,A+,2,medium,Post-Operative Care,1,23,4
REQ-2025-00155,2025-05-17,CHU Mohammed VI,Marrakech-Safi,B+,5,low,Accident Emergency,1,39,7
REQ-2024-00156,2024-10-21,CHU Ibn Rochd,Casablanca-Settat,A+,2,medium,Emergency Surgery,1,41,1
REQ-2024-00157,2024-04-23,CHU Mohammed VI,Marrakech-Safi,B+,4,medium,Scheduled Transfusion,0,,0
REQ-2024-00158,2024-01-20,Hôpital Régional Oujda,Oriental,B+,1,low,Accident Emergency,0,,0
REQ-2023-00159,2023-04-24,CHU Mohammed VI,Marrakech-Safi,O+,3,critical,Pediatric Care,1,59,7
REQ-2024-00160,2024-12-18,CHU Ibn Sina,Rabat-Salé-Kénitra,B+,5,high,Pediatric Care,1,58,8
REQ-2023-00161,2023-09-21,CHU Hassan II,Fès-Meknès,A+,3,medium,Pediatric Care,1,57,1
REQ-2025-00162,2025-09-07,CHU Souss Massa,Souss-Massa,B+,3,medium,Burn Treatment,1,55,4
REQ-2024-00163,2024-05-25,CHU Souss Massa,Souss-Massa,O+,5,low,Chronic Disease Treatment,0,,0
REQ-2025-00164,2025-06-04,CHU Ibn Rochd,Casablanca-Settat,AB+,3,medium,Post-Operative Care,1,54,4
REQ-2024-00165,2024-02-05,CHU Mohammed VI,Marrakech-Safi,B+,6,medium,Organ Transplant,0,,0
REQ-2025-00166,2025-07-05,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,5,medium,Emergency Surgery,1,14,7
REQ-2026-00167,2026-01-10,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,6,low,Post-Operative Care,1,30,2
REQ-2024-00168,2024-08-19,CHU Mohammed VI,Marrakech-Safi,AB+,5,high,Maternal Care,0,,0
REQ-2024-00169,2024-02-13,CHU Souss Massa,Souss-Massa,A+,2,high,Burn Treatment,0,,0
REQ-2024-00170,2024-03-01,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,A+,5,medium,Burn Treatment,1,6,7
REQ-2023-00171,2023-09-29,CHU Souss Massa,Souss-Massa,O+,5,medium,Scheduled Transfusion,0,,0
REQ-2024-00172,2024-09-23,CHU Mohammed VI,Marrakech-Safi,B+,9,critical,Burn Treatment,1,32,10
REQ-2023-00173,2023-04-10,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,4,medium,Scheduled Transfusion,0,,0
REQ-2025-00174,2025-10-10,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,B+,1,low,Chronic Disease Treatment,1,54,7
REQ-2024-00175,2024-06-15,CHU Mohammed VI,Marrakech-Safi,O+,1,critical,Chronic Disease Treatment,1,27,6
REQ-2024-00176,2024-09-14,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,6,high,Maternal Care,0,,0
REQ-2025-00177,2025-02-26,CHU Souss Massa,Souss-Massa,O+,2,medium,Emergency Surgery,1,58,10
REQ-2025-00178,2025-07-23,CHU Ibn Sina,Rabat-Salé-Kénitra,B+,2,medium,Accident Emergency,1,45,9
REQ-2025-00179,2025-08-11,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,A+,4,medium,Organ Transplant,1,31,11
REQ-2024-00180,2024-09-03,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,9,critical,Organ Transplant,1,17,11
REQ-2023-00181,2023-02-19,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,6,low,Maternal Care,0,,0
REQ-2025-00182,2025-03-27,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,AB+,5,medium,Scheduled Transfusion,0,,0
REQ-2023-00183,2023-06-10,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,8,critical,Organ Transplant,1,19,2
REQ-2025-00184,2025-04-28,CHU Hassan II,Fès-Meknès,O+,2,high,Post-Operative Care,0,,0
REQ-2026-00185,2026-01-17,CHU Mohammed VI,Marrakech-Safi,A+,5,low,Accident Emergency,1,24,10
REQ-2023-00186,2023-06-01,CHU Souss Massa,Souss-Massa,AB+,6,medium,Maternal Care,1,37,5
REQ-2023-00187,2023-01-30,Hôpital Régional Oujda,Oriental,A+,2,low,Scheduled Transfusion,1,49,11
REQ-2025-00188,2025-10-30,CHU Ibn Rochd,Casablanca-Settat,AB+,4,medium,Emergency Surgery,1,48,6
REQ-2024-00189,2024-11-21,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,1,medium,Chronic Disease Treatment,1,20,5
REQ-2023-00190,2023-05-28,CHU Souss Massa,Souss-Massa,B-,4,high,Chronic Disease Treatment,1,43,10
REQ-2025-00191,2025-02-19,CHU Souss Massa,Souss-Massa,B+,4,high,Burn Treatment,1,54,8
REQ-2023-00192,2023-01-23,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,2,medium,Pediatric Care,0,,0
REQ-2023-00193,2023-03-06,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,AB+,1,low,Maternal Care,1,7,6
REQ-2024-00194,2024-01-05,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,3,high,Scheduled Transfusion,1,49,9
REQ-2024-00195,2024-09-23,CHU Mohammed VI,Marrakech-Safi,O-,2,low,Emergency Surgery,0,,0
REQ-2025-00196,2025-08-24,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,5,low,Post-Operative Care,1,34,6
REQ-2023-00197,2023-04-23,Hôpital Régional Oujda,Oriental,A-,5,low,Emergency Surgery,1,3,10
REQ-2023-00198,2023-01-28,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,6,medium,Emergency Surgery,1,3,11
REQ-2024-00199,2024-07-23,Hôpital Régional Oujda,Oriental,A+,1,medium,Pediatric Care,1,18,8
REQ-2023-00200,2023-08-26,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,AB-,3,medium,Emergency Surgery,1,19,1
REQ-2024-00201,2024-06-12,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,B+,4,medium,Organ Transplant,0,,0
REQ-2023-00202,2023-01-04,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB+,4,medium,Organ Transplant,0,,0
REQ-2023-00203,2023-05-26,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,4,low,Organ Transplant,1,7,2
REQ-2026-00204,2026-01-18,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,B+,6,medium,Organ Transplant,1,11,4
REQ-2024-00205,2024-02-06,CHU Ibn Sina,Rabat-Salé-Kénitra,A+,1,high,Organ Transplant,1,16,1
REQ-2023-00206,2023-06-18,CHU Mohammed VI,Marrakech-Safi,O+,1,medium,Maternal Care,1,3,12
REQ-2024-00207,2024-07-10,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,2,medium,Chronic Disease Treatment,1,45,12
REQ-2025-00208,2025-10-11,Hôpital Régional Oujda,Oriental,B+,3,low,Organ Transplant,1,9,12
REQ-2025-00209,2025-08-05,Hôpital Régional Oujda,Oriental,O+,1,low,Organ Transplant,1,49,2
REQ-2025-00210,2025-04-01,CHU Ibn Rochd,Casablanca-Settat,A+,1,high,Scheduled Transfusion,1,48,7
REQ-2025-00211,2025-08-04,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,1,medium,Organ Transplant,1,41,12
REQ-2025-00212,2025-02-11,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB+,7,critical,Maternal Care,1,44,1
REQ-2026-00213,2026-01-04,CHU Mohammed VI,Marrakech-Safi,O+,6,medium,Emergency Surgery,1,37,11
REQ-2025-00214,2025-03-18,CHU Hassan II,Fès-Meknès,A+,6,low,Pediatric Care,1,12,11
